,ITD 25,ITD 35,ITD 45,ITD 55
Air Temperature (F),-0.000512 ***,-0.00399 ***,-0.0107 ***,-0.0185 ***
     ,(-4.03),(-9.93),(-14.4),(-35.5)
Air Pressure (psia),0.00262 *,0.00693 *,0.0161 *,0.0272 ***
       ,-2.37,-1.99,-2.48,-6
Intercept,1.01 ***,1.24 ***,1.66 ***,2.09 ***
        ,-54.4,-21.1,-15.2,-27.5
R Squared,0.0845,0.264,0.531,0.933
RMSE,0.0224,0.0777,0.117,0.0474
MAE,0.0129,0.0531,0.0923,0.0474
